inglizcha	uzbekcha
neighbor	qo'shni	
function	funktsiya	
active	faol	
extend	uzaytirmoq	
chief	boshliq	
average	o'rtacha	
combine	aralashtirmoq	
voter	saylovchi	
demand	talab	
moral	ahloqiy	
category	toifasi	
relatively	nisbatan	
academic	akademik	
Internet	Internet	
historical	tarixiy	
depend	bog'liq	
classroom	sinf	
participate	ishtirok etish	
daily	har kuni	
exercise	jismoniy mashqlar	
knee	tizza	
appropriate	muvofiq	
supply	ta'minot	
fully	to'liq	
democracy	demokratiya	
eastern	sharqiy	
primary	birlamchi	
device	qurilma	
colleague	hamkasb	
application	dastur	
lean	oriq	
plastic	plastik	
otherwise	aks holda	
expression	ifoda	
abuse	suiiste'mol qilish	
shut	yoping	
session	sessiya	
domestic	ichki	
literature	adabiyot	
assessment	baholash	
injury	jarohat	
northern	shimoliy	
nod	bosh irg'ash	
fuel	yoqilg'i	
leaf	barg	
instruction	ko'rsatma	
expand	kengaytirish	
importance	ahamiyati	
software	dasturiy ta'minot	
corporate	korporativ	
lip	lab	
urban	shahar	
increasingly	borgan sari	
educational	tarbiyaviy	
farmer	dehqon	
explore	o'rganmoq	
obtain	olish	
complex	murakkab	
surround	o'rab olish	
athlete	sportchi	
scientific	ilmiy	
panel	panel	
instrument	asbob	
predict	bashorat qilish	
presidential	prezidentlik	
commitment	majburiyat	
Supreme	Oliy	
temperature	harorat	
poll	so'rovnoma	
proposal	taklif	
consequence	oqibat	
balance	muvozanat	
adopt	asrab olish	
minority	ozchilik	
connect	ulanmoq	
aid	yordam	
photograph	fotosurat	
regional	mintaqaviy	
novel	roman	
organize	tashkil qilish	
breast	ko'krak	
Iraqi	Iroq	
acknowledge	tan olish	
theme	mavzu	
conclusion	xulosa	
prime	asosiy	
struggle	kurash	
conclude	xulosa qilish	
analyst	tahlilchi	
limit	chegara	
regulation	tartibga solish	
largely	asosan	
revenue	daromad	
mark	belgi	
locate	topmoq	
county	okrug	
appearance	tashqi ko'rinish	
difficulty	qiyinchilik	
recommend	tavsiya eting	
e-mail	elektron pochta	
generate	yaratish	
propose	taklif qilmoq	
trend	trend	
visitor	Mehmon	
currently	hozirda	
investor	investor	
profit	foyda	
muscle	muskul	
notion	tushunchasi	
capture	qo'lga olish	
thick	qalin	
museum	muzey	
unique	noyob	
feature	xususiyati	
internal	ichki	
ethnic	etnik	
link	havola	
stress	stress	
content	tarkib	
select	tanlang	
root	ildiz	
declare	e'lon qiling	
actual	haqiqiy	
outcome	natija	
ad	reklama	
defend	himoya qilmoq	
sheet	varaq	
ensure	ta'minlash	
Catholic	Katolik	
extent	darajada	
component	komponent	
mix	aralashtiramiz	
long-term	Uzoq muddat	
contrast	qarama-qarshilik	
chief	boshliq	
brown	jigarrang	
standard	standart	
ultimately	oxir-oqibat	
contribution	hissa	
capacity	imkoniyatlar	
guide	qo'llanma	
circumstance	holat	
politician	siyosatchi	
pursue	ta'qib qilish	
percentage	foiz	
soil	tuproq	
influence	ta'sir	
Jewish	Yahudiy	
estimate	smeta	
investigate	tergov qilish	
significantly	sezilarli darajada	
branch	filial	
combination	kombinatsiya	
frequently	tez-tez	
relief	yengillik	
user	foydalanuvchi	
manner	uslubi	
rating	reyting	
motion	harakat	
gender	jins	
fee	haq	
landscape	manzara	
equal	teng	
forth	oldinga	
frame	ramka	
typical	tipik	
conservative	konservativ	
eliminate	yo'q qilish	
host	mezbon	
producer	ishlab chiqaruvchi	
meanwhile	bu orada	
regime	tartib	
division	bo'linish	
confirm	tasdiqlang	
appeal	Shikoyat qilish	
tooth	tish	
length	uzunlik	
rely	ishonmoq	
topic	mavzu	
complain	shikoyat qilish	
variable	o'zgaruvchan	
perception	idrok	
attract	jalb qilmoq	
debt	qarz	
coverage	qamrov	
opposition	muxolifat	
bond	bog'lanish	
era	davr	
requirement	talab	
expectation	kutish	
struggle	kurash	
somewhat	bir oz	
pour	to'kib tashlang	
stir	aralashtiramiz	
judgment	hukm	
reference	ma'lumotnoma	
grant	grant	
minister	vazir	
industrial	sanoat	
cloud	bulut	
stretch	cho'zish	
volume	hajmi	
seed	urug '	
fashion	moda	
pepper	murch	
intervention	aralashuv	
aim	maqsad	
cite	keltirish	
welfare	farovonlik	
vegetable	sabzavot	
dish	taom	
improvement	takomillashtirish	
overall	umuman olganda	
divide	bo'lmoq	
initial	boshlang'ich	
oppose	qarshi chiqish	
contemporary	zamonaviy	
multiple	bir nechta	
essential	muhim	
league	liga	
core	yadro	
upper	yuqori	
necessarily	albatta	
specifically	xususan	
employ	ishga joylashtirmoq	
vast	ulkan	
resolution	qaror	
household	uy xo'jaligi	
fewer	kamroq	
abortion	abort	
sector	sektor	
representative	vakil	
lack	etishmaslik	
beneath	ostida	
beside	yonida	
incident	voqea	
limited	cheklangan	
flow	oqim	
faculty	fakultet	
increased	ortdi	
merely	shunchaki	
mass	massa	
emphasize	ta'kidlash	
experiment	tajriba	
enormous	juda katta	
tone	ohang	
liberal	liberal	
massive	katta	
engineer	muhandis	
decline	pasayish	
invest	sarmoya kiritish	
expose	fosh qilmoq	
rural	qishloq	
AIDS	OITS	
Jew	Yahudiy	
narrow	tor	
typically	odatda	
grass	o't	
unfortunately	afsuski	
legislation	qonunchilik	
succeed	muvaffaqiyatga erishish	
achievement	muvaffaqiyat	
accuse	ayblash	
useful	foydali	
reject	rad etish	
characteristic	xarakterli	
closely	yaqindan	
convince	ishontirish	
physician	shifokor	
assess	baholash	
virtually	deyarli	
addition	qo'shimcha	
creative	ijodiy	
approve	tasdiqlash	
campus	talabalar shaharchasi	
acquire	sotib olmoq	
compete	raqobatlashmoq	
technical	texnik	
plus	ortiqcha	
potential	salohiyat	
immigrant	muhojir	
alternative	muqobil	
interaction	o'zaro ta'sir	
column	ustun	
personality	shaxsiyat	
curriculum	o'quv dasturi	
passenger	yo'lovchi	
assistance	yordam	
regard	e'tibor	
Israeli	Isroil	
association	birlashma	
twenty	yigirma	
review	ko'rib chiqish	
wrap	o'rash	
display	displey	
criticism	tanqid	
asset	aktiv	
depression	depressiya	
spiritual	ma'naviy	
musical	musiqiy	
journalist	jurnalist	
prayer	ibodat	
scholar	olim	
climate	iqlim	
observation	kuzatuv	
childhood	bolalik	
payment	to'lov	
permit	ruxsatnoma	
definition	ta'rifi	
priority	ustuvorlik	
creation	yaratish	
graduate	bitirmoq	
emotion	hissiyot	
dramatic	dramatik	
gap	bo'shliq	
deeply	chuqur	
prosecutor	prokuror	
mark	belgi	
airline	aviakompaniya	
agenda	kun tartibi	
recover	tiklanmoq	
factory	zavod	
selection	tanlov	
primarily	birinchi navbatda	
unable	qodir emas	
expense	xarajatlar	
initiative	tashabbus	
diet	parhez	
funding	mablag '	
therapy	terapiya	
brief	qisqacha	
housing	uy-joy	
purchase	sotib olish	
existing	mavjud	
steel	po'lat	
regarding	bilan bog'liq	
shout	baqir	
remaining	qolgan	
visual	ingl	
fairly	odilona	
violent	zo'ravonlik	
self	o'zini o'zi	
perceive	sezmoq	
comparison	taqqoslash	
settlement	turar-joy	
layer	qatlam	
description	tavsif	
slide	slayd	
widely	keng	
inform	xabar bermoq	
portion	qism	
territory	hudud	
immediate	darhol	
opponent	raqib	
abandon	tark etish	
link	havola	
mass	massa	
transform	o'zgartirish	
tension	kuchlanish	
display	displey	
consist	iborat	
alcohol	spirtli ichimliklar	
enable	yoqish	
bend	egilish	
gain	daromad	
error	xato	
Arab	Arab	
preserve	saqlamoq	
passage	o'tish joyi	
formal	rasmiy	
transition	o'tish	
existence	mavjudlik	
album	albom	
participation	ishtirok etish	
arrange	tartibga solish	
atmosphere	atmosfera	
reply	javob	
cycle	tsikl	
opposite	qarama-qarshi	
consistent	izchil	
resistance	qarshilik	
discovery	kashfiyot	
exposure	chalinish xavfi	
pose	pozitsiya	
stream	oqim	
benefit	foyda olish	
coalition	koalitsiya	
tale	ertak	
resolve	hal qilish	
racial	irqiy	
phase	bosqich	
Mexican	Meksikalik	
symptom	simptom	
manufacturer	ishlab chiqaruvchi	
philosophy	falsafa	
potato	kartoshka	
foundation	poydevor	
quote	tirnoq	
online	onlayn	
negotiation	muzokara	
urge	da'vat	
occasion	imkoniyat	
elect	saylamoq	
investigator	tergovchi	
ordinary	oddiy	
reduction	kamaytirish	
rarely	kamdan-kam hollarda	
numerous	juda ko'p	
substance	modda	
discipline	intizom	
elsewhere	boshqa joyda	
iron	temir	
practical	amaliy	
moreover	bundan tashqari	
volunteer	ko'ngilli	
implement	amalga oshirish	
essentially	mohiyatan	
gene	gen	
enforcement	ijro etish	
vs	va boshqalar	
sauce	sous	
independence	mustaqillik	
marketing	marketing	
intense	kuchli	
advance	oldinga	
employer	ish beruvchi	
inspire	ilhomlantirmoq	
adjust	sozlash	
retire	nafaqaga	
visible	ko'rinadigan	
illness	kasallik	
cap	qopqoq	
habit	odat	
competitive	raqobatdosh	
congressional	Kongress	
involvement	ishtirok etish	
dominate	hukmronlik qilish	
previously	ilgari	
analyze	tahlil qilish	
attach	biriktirmoq	
Indian	Hind	
disaster	falokat	
prospect	istiqbol	
complaint	shikoyat	
championship	chempionat	
exercise	jismoniy mashqlar	
fundamental	asosiy	
severe	og'ir	
enhance	oshirish	
impose	yuklamoq	
poverty	qashshoqlik	
entry	kirish	
evaluate	baholash	
symbol	belgi	
maker	ishlab chiqaruvchi	
accomplish	amalga oshirish	
emphasis	urg'u	
illustrate	tasvirlash	
boot	yuklash	
monitor	monitor	
Asian	Osiyo	
entertainment	o'yin-kulgi	
bean	loviya	
evaluation	baholash	
commander	qo'mondon	
digital	raqamli	
arrangement	tartibga solish	
concentrate	konsentrat	
psychological	psixologik	
heavily	og'ir	
peak	tepalik	
approximately	taxminan	
increasing	ortib bormoqda	
disorder	tartibsizlik	
missile	raketa	
equally	teng darajada	
vary	farq qiladi	
distribution	tarqatish	
transportation	transport	
holy	muqaddas	
twin	egizak	
commission	komissiya	
interpretation	sharhlash	
strongly	kuchli	
engineering	muhandislik	
so-called	deb nomlangan	
constant	doimiy	
clinic	klinika	
veteran	faxriy	
tablespoon	osh qoshiq	
tourist	sayyoh	
toss	otish	
crucial	hal qiluvchi	
tomato	pomidor	
exception	istisno	
deficit	defitsit	
objective	ob'ektiv	
electronic	elektron	
ally	ittifoqchi	
mixture	aralash	
confront	to'qnashmoq	
glance	qarash	
dimension	o'lchov	
toy	o'yinchoq	
smooth	silliq	
nearby	yaqin	
peer	tengdosh	
designer	dizayner	
personnel	xodimlar	
educator	tarbiyachi	
relative	nisbiy	
immigration	immigratsiya	
teaspoon	choy qoshiq	
implication	xulosa	
supporter	qo'llab-quvvatlovchi	
accompany	hamrohlik qilish	
teenager	o'spirin	
recognition	tan olish	
retirement	iste'fo	
flag	bayroq	
recovery	tiklanish	
whisper	pichirlash	
corn	makkajo'xori	
inner	ichki	
junior	kichik	
salary	ish haqi	
observer	kuzatuvchi	
publication	nashr	
crop	hosil	
permanent	doimiy	
phenomenon	hodisa	
anxiety	tashvish	
unlike	farqli o'laroq	
literally	so'zma-so'z	
resist	qarshilik ko'rsatish	
convention	anjuman	
embrace	quchoqlamoq	
supply	ta'minot	
assist	yordam berish	
exhibition	ko'rgazma	
construct	qurish	
viewer	tomoshabin	
pan	pan	
consultant	maslahatchi	
administrator	ma'mur	
occasionally	vaqti-vaqti bilan	
consideration	ko'rib chiqish	
CEO	Bosh ijrochi direktor	
estimate	smeta	
buck	buk	
historic	tarixiy	
poem	she'r	
bind	bog'lash	
constantly	doimiy ravishda	
enterprise	korxona	
testing	sinov	
apparent	aniq	
weigh	tortmoq	
install	o'rnatish	
suggestion	taklif	
recipe	recipe	
reasonable	oqilona	
preparation	tayyorgarlik	
wooden	yog'och	
elementary	boshlang'ich	
concert	konsert	
aggressive	tajovuzkor	
false	false	
intention	intention	
extreme	haddan tashqari	
tube	naycha	
drawing	rasm chizish	
protein	protein	
absence	yo'qlik	
Latin	Latin	
rapidly	rapidly	
comment	sharh	
diversity	xilma-xillik	
Palestinian	Falastin	
pace	sur'at	
employment	ish bilan ta'minlash	
speaker	ma'ruzachi	
impression	taassurot	
essay	insho	
respondent	javob beruvchi	
historian	tarixchi	
negotiate	negotiate	
restore	tiklash	
substantial	substantial	
pop	pop	
specialist	specialist	
origin	kelib chiqishi	
approval	approval	
quietly	sekin	
advise	maslahat bering	
conventional	conventional	
depth	chuqurlik	
wealth	boylik	
disability	disability	
shell	shell	
general	umumiy	
criticize	criticize	
effectively	effectively	
biological	biological	
onion	onion	
deputy	deputat	
brand	tovar belgisi	
award	mukofot	
criteria	mezonlar	
dealer	diler	
via	via	
alternative	alternative	
utility	qulaylik	
precisely	precisely	
arise	arise	
nevertheless	nevertheless	
highway	highway	
clinical	clinical	
wage	ish haqi	
normally	normally	
phrase	ibora	
ingredient	ingredient	
stake	stake	
Muslim	Musulmon	
fiber	tola	
activist	faol	
Islamic	Islamic	
snap	tez	
terrorism	terrorism	
refugee	qochoq	
incorporate	qo'shmoq	
hip	hip	
ultimate	ultimate	
corporation	korporatsiya	
valuable	qimmatli	
assumption	assumption	
gear	gear	
graduate	graduate	
barrier	barrier	
minor	voyaga etmagan	
provision	ta'minot	
assign	assign	
developing	developing	
classic	classic	
chemical	chemical	
label	yorliq	
teen	teen	
index	indeks	
advocate	advokat	
draft	draft	
extraordinary	extraordinary	
yell	yell	
distant	uzoq	
satellite	satellite	
Italian	Italyancha	
Canadian	Canadian	
ceiling	ceiling	
sweep	supurish	
advertising	reklama	
universal	universal	
spin	spin	
rank	daraja	
darkness	darkness	
clothing	kiyim-kechak	
yield	yield	
fence	fence	
portrait	portrait	
survival	omon qolish	
roughly	taxminan	
lawsuit	sud jarayoni	
testimony	guvohlik	
burden	yuk	
react	react	
chamber	kamera	
furniture	mebel	
cooperation	hamkorlik	
string	string	
ceremony	marosim	
communicate	communicate	
cheek	yonoq	
profile	profil	
mechanism	mexanizm	
disagree	rozi emas	
penalty	penalty	
ie	ya'ni	
advance	oldinga	
resort	kurort	
destruction	yo'q qilish	
unlikely	unlikely	
tissue	tissue	
constitutional	konstitutsiyaviy	
pant	pant	
infection	infektsiya	
cabinet	kabinet	
electric	elektr	
literary	adabiy	
virus	virus	
dispute	nizo	
strategic	strategic	
overcome	yengish	
remarkable	ajoyib	
occupy	egallamoq	
statistics	statistika	
encounter	duch kelish	
wipe	arting	
initially	dastlab	
port	port	
electricity	elektr energiyasi	
genetic	genetik	
adviser	maslahatchi	
spokesman	spokesman	
retain	saqlamoq	
latter	ikkinchisi	
incentive	rag'batlantirish	
slave	qul	
chemical	kimyoviy	
translate	tarjima qilish	
accurate	aniq	
whereas	Holbuki	
terror	terror	
expansion	kengayish	
elite	elite	
Olympic	Olimpiya o'yinlari	
rice	guruch	
Bible	Injil	
chart	jadval	
solar	quyosh	
decline	pasayish	
conservative	konservativ	
concentration	diqqat	
gently	muloyimlik bilan	
scenario	stsenariy	
telescope	teleskop	
reflection	aks ettirish	
revolution	inqilob	
strip	Ip	
interpret	izohlash	
tournament	turnir	
fiction	fantastika	
detect	aniqlash	
balance	muvozanat	
tremendous	ulkan	
lifetime	lifetime	
recommendation	tavsiya	
flow	oqim	
senator	senator	
salad	salat	
boundary	chegara	
pause	pauza	
remote	uzoqdan	
satisfaction	qoniqish	
journal	jurnal	
bench	skameyka	
raw	xom	
awareness	xabardorlik	
surprising	ajablanarli	
withdraw	chekinmoq	
general	umumiy	
similarly	xuddi shunday	
newly	Yangi	
pole	qutb	
testify	guvohlik bering	
mode	mode	
dialogue	dialog	
imply	nazarda tutmoq	
mutual	o'zaro	
founder	asoschisi	
advanced	rivojlangan	
dismiss	ishdan bo'shatish	
aircraft	samolyot	
mainly	asosan	
bake	pishirish	
freeze	muzlash	
platform	platforma	
finance	Moliya	
sink	cho'kish	
diverse	xilma-xil	
relevant	muvofiq	
ideal	ideal	
regularly	regularly	
singer	ashulachi	
evolve	rivojlanmoqda	
partly	qisman	
unknown	noma'lum	
offense	jinoyat	
counter	counter	
DNA	DNK	
potentially	potentsial	
thirty	o'ttiz	
justify	oqlash	
protest	norozilik	
craft	hunarmandchilik	
treaty	shartnoma	
terrorist	terrorchi	
insight	tushuncha	
possess	egalik qilmoq	
politically	siyosiy jihatdan	
tap	ga teging	
extensive	keng	
episode	epizod	
tire	shinalar	
shortly	qisqa vaqt ichida	
originally	dastlab	
considerable	sezilarli	
prior	oldin	
intellectual	intellektual	
mix	aralashtiramiz	
assault	tajovuz	
stair	narvon	
adventure	sarguzasht	
external	tashqi	
confident	confident	
headquarters	shtab-kvartirasi	
violation	buzilish	
shelter	boshpana	
rub	silamoq	
controversy	tortishuv	
entrance	Kirish	
properly	to'g'ri	
fade	fade	
defensive	mudofaa	
tragedy	fojia	
net	to'r	
characterize	xarakterlash	
profession	kasb	
alter	o'zgartirish	
constitute	tashkil etadi	
establishment	tashkil etish	
squeeze	siqish	
imagination	tasavvur	
convert	aylantirish	
comprehensive	keng qamrovli	
prominent	taniqli	
presentation	taqdimot	
regardless	qat'i nazar	
stable	barqaror	
introduction	kirish	
appeal	Shikoyat qilish	
elderly	qariyalar	
representation	vakillik	
deer	kiyik	
violate	buzmoq	
partnership	sheriklik	
pollution	ifloslanish	
emission	emissiya	
vital	hayotiy	
earnings	daromad	
oven	pech	
distinction	farqlash	
segment	segment	
poet	shoir	
mere	mere	
variation	o'zgaruvchanlik	
comfort	qulaylik	
radical	radikal	
stress	stress	
adapt	moslashmoq	
Irish	Irland	
correspondent	muxbir	
pale	rangpar	
musician	musiqachi	
significance	ahamiyati	
vessel	idish	
storage	saqlash	
flee	qochmoq	
mm-hmm	mm-hmm	
leather	teri	
distribute	tarqatmoq	
evolution	evolyutsiya	
tribe	qabila	
shelf	raf	
lawn	maysazor	
buyer	xaridor	
dining	ovqatlanish	
wisdom	donolik	
council	council	
vulnerable	zaif	
instance	misol	
garlic	sarimsoq piyoz	
capability	qobiliyat	
poetry	she'riyat	
celebrity	taniqli	
gradually	asta-sekin	
stability	barqarorlik	
fantasy	xayol	
guide	qo'llanma	
plot	fitna	
framework	ramka	
gesture	imo-ishora	
depending	qarab	
ongoing	davom etayotgan	
psychology	psixologiya	
counselor	maslahatchi	
chapter	bob	
athletic	sport	
slight	ozgina	
math	matematik	
shade	soya	
sustain	qo'llab-quvvatlamoq	
mount	o'rnatish	
obligation	majburiyat	
angle	burchak	
palm	palm	
differ	farq qiladi	
custom	odatiy	
economist	iqtisodchi	
fifteen	fifteen	
celebration	bayram	
efficient	efficient	
composition	tarkibi	
satisfy	qondirmoq	
pile	qoziq	
briefly	qisqacha	
carbon	carbon	
consume	iste'mol	
scheme	sxema	
frequency	chastota	
tobacco	tamaki	
survivor	tirik qolgan	
besides	bundan tashqari	
psychologist	psixolog	
wealthy	boy	
galaxy	galaxy	
fund	fond	
ski	chang'i	
limitation	cheklash	
preference	afzallik	
meter	meter	
explosion	portlash	
publicly	ommaviy ravishda	
fighter	qiruvchi	
rapid	tezkor	
admission	kirish	
hunter	ovchi	
educate	tarbiyalash	
painful	alamli	
aide	yordamchi	
infant	go'dak	
calculate	hisoblash	
fifty	ellik	
porch	ayvon	
tendency	moyillik	
formation	shakllanish	
scholarship	stipendiya	
reservation	bron qilish	
efficiency	samaradorlik	
qualify	saralash	
mall	savdo markazi	
derive	hosil qilmoq	
scandal	janjal	
PC	Kompyuter	
helpful	helpful	
impress	taassurot qoldirmoq	
heel	heel	
resemble	resemble	
privacy	privacy	
fabric	mato	
contest	contest	
proportion	mutanosiblik	
guideline	ko'rsatma	
rifle	miltiq	
maintenance	texnik xizmat ko'rsatish	
conviction	ishonchlilik	
organic	organik	
tent	chodir	
examination	imtihon	
publisher	publisher	
strengthen	mustahkamlash	
proposed	proposed	
myth	afsona	
sophisticated	murakkab	
etc	etc	
tennis	tennis	
barrel	bochka	
bombing	bombardimon qilish	
membership	membership	
ratio	nisbat	
menu	menu	
purchase	purchase	
controversial	bahsli	
lifestyle	turmush tarzi	
humor	hazil	
glove	qo'lqop	
sufficient	etarli	
narrative	narrative	
photographer	photographer	
helicopter	vertolyot	
Catholic	Katolik	
modest	kamtarona	
provider	provider	
delay	delay	
agricultural	agricultural	
explode	explode	
stroke	qon tomir	
scope	scope	
punishment	punishment	
handful	hovuch	
horizon	horizon	
prompt	tezkor	
cholesterol	xolesterin	
absorb	singdirmoq	
adjustment	moslashish	
taxpayer	soliq to'lovchi	
eager	eager	
principal	principal	
detailed	detailed	
motivation	motivation	
assignment	topshiriq	
restriction	cheklash	
Palestinian	Falastin	
laboratory	laboratoriya	
workshop	workshop	
differently	boshqacha	
auto	avtomatik	
cotton	paxta	
motor	vosita	
sue	sudga berish	
flavor	flavor	
overlook	e'tiborsiz qoldiring	
float	suzmoq	
undergo	duchor	
sequence	ketma-ketlik	
demonstration	demonstration	
jet	samolyot	
consumption	iste'mol	
assert	assert	
blade	pichoq	
temporary	temporary	
medication	dorilar	
relative	relative	
edition	nashr	
valley	valley	
pitch	balandlik	
pine	pine	
versus	ga qarshi	
manufacturing	ishlab chiqarish	
Christian	Nasroniy	
complex	murakkab	
absolute	mutlaq	
chef	oshpaz	
discrimination	discrimination	
offensive	tajovuzkor	
register	ro'yxatdan o'tish	
appoint	tayinlamoq	
heritage	meros	
terrorist	terrorchi	
dominant	dominant	
successfully	muvaffaqiyatli	
lemon	limon	
wander	adashmoq	
submit	topshirish	
economics	iqtisodiyot	
anticipate	kutmoq	
nut	nut	
legacy	meros	
extension	kengaytma	
shrug	yelka qisish	
battery	batareya	
arrival	kelish	
legitimate	qonuniy	
orientation	yo'nalish	
inflation	inflyatsiya	
cope	engish	
flame	alanga	
cluster	cluster	
host	mezbon	
dependent	qaram	
institutional	institutsional	
depict	tasvirlash	
operating	operatsion	
operator	operator	
instructor	o'qituvchi	
collapse	qulash	
furthermore	bundan tashqari	
comedy	komediya	
mortgage	ipoteka	
sanction	sanktsiya	
civilian	fuqarolik	
twelve	o'n ikki	
weekly	haftalik	
habitat	yashash joyi	
grain	don	
brush	cho'tka	
consciousness	ong	
devote	bag'ishlang	
measurement	o'lchov	
province	viloyat	
ease	osonlik	
seize	ushlamoq	
ethics	axloq	
nomination	nomzodlik	
actress	aktrisa	
summit	yig'ilish	
acid	kislota	
odds	koeffitsientlar	
gifted	iqtidorli	
frustration	umidsizlik	
medium	o'rta	
function	funktsiya	
physically	jismonan	
grant	grant	
distinguish	ajratmoq	
shore	qirg'oq	
repeatedly	qayta-qayta	
lung	o'pka	
distinct	aniq	
artistic	badiiy	
discourse	nutq	
basket	savat	
ah	ah	
impressive	ta'sirchan	
competitor	raqib	
portray	tasvirlash	
powder	kukun	
persuade	ishontirish	
moderate	o'rtacha	
subsequent	keyingi	
continued	davom etdi	
cookie	pechene	
carrier	tashuvchi	
frequent	tez-tez	
ban	taqiqlash	
admire	qoyil qolmoq	
exceed	oshib ketish	
rhythm	ritm	
widespread	keng tarqalgan	
sin	gunoh	
charity	xayriya	
tactic	taktika	
identification	identifikatsiya qilish	
transformation	transformatsiya	
everyday	har kuni	
headline	sarlavha	
venture	shovqin	
invasion	bosqin	
nonetheless	baribir	
adequate	etarli	
grocery	oziq-ovqat	
intensity	intensivlik	
exhibit	ko'rgazma	
blanket	adyol	
margin	margin	
principal	asosiy	
quarterback	yarim himoyachi	
concrete	beton	
prescription	retsept	
African-American	Afroamerikalik	
document	hujjat	
brick	g'isht	
recruit	yollash	
patch	yamoq	
consensus	Kelishuv	
horror	dahshat	
recording	yozib olish	
painter	rassom	
colonial	mustamlaka	
gaze	qarash	
pregnancy	homiladorlik	
defeat	mag'lubiyat	
clue	maslahat	
reinforce	mustahkamlamoq	
confusion	chalkashlik	
slice	tilim	
occupation	kasb	
coal	ko'mir	
sacred	muqaddas	
formula	formula	
cognitive	kognitiv	
collective	jamoaviy	
uncle	tog'a	
captain	kapitan	
sigh	xo'rsin	
attribute	xususiyat	
homeless	uysiz	
gallery	galereya	
soccer	futbol	
defendant	sudlanuvchi	
tunnel	tunnel	
fitness	fitness	
lap	aylana	
toe	oyoq barmog'i	
container	idish	
virtue	fazilat	
abroad	chet elda	
architect	me'mor	
dramatically	keskin	
makeup	pardoz	
inquiry	so'rov	
rose	atirgul	
surprisingly	ajablanarli	
highlight	ajratib ko'rsatish	
decrease	pasayish	
indication	ko'rsatma	
rail	temir yo'l	
anniversary	yubiley	
alliance	ittifoq	
hypothesis	gipoteza	
compose	tuzmoq	
peer	tengdosh	
rank	daraja	
legend	afsona	
regulate	tartibga solish	
adolescent	o'spirin	
norm	norma	
remark	izoh	
resign	iste'foga chiqish	
reward	sovrin	
gentle	muloyim	
related	bog'liq	
organ	organ	
lightly	engil	
concerning	haqida	
invent	o'ylab topmoq	
laughter	kulgu	
northwest	shimoli g'arbiy	
counseling	maslahat	
receiver	qabul qiluvchi	
ritual	marosim	
insect	hasharot	
interrupt	uzmoq	
salmon	go'shti Qizil baliq	
trading	savdo	
superior	ustun	
combat	jang	
stem	ildiz	
surgeon	jarroh	
acceptable	maqbul	
physics	fizika	
rape	zo'rlash	
counsel	counsel	
brush	cho'tka	
jeans	jinsi shimlar	
continuous	davomiy	
log	jurnal	
echo	aks sado	
pill	hap	
sculpture	sculpture	
compound	birikma	
integrate	birlashtirmoq	
flour	un	
bitter	achchiq	
bare	yalang'och	
slope	Nishab	
presidency	prezidentlik	
serving	xizmat qilish	
subtle	nozik	
greatly	juda katta	
bishop	episkop	
delay	kechikish	
acceptance	qabul qilish	
collapse	collapse	
pump	nasos	
finance	Moliya	
medal	medal	
sponsor	homiy	
ethical	axloqiy	
secondary	ikkilamchi	
slam	slam	
export	export	
experimental	eksperimental	
melt	eritmoq	
net	to'r	
curve	egri chiziq	
integrity	yaxlitlik	
entitle	huquq	
evident	aniq	
logic	logic	
essence	mohiyat	
exclude	chiqarib tashlash	
harsh	harsh	
suburban	shahar atrofi	
greet	salom	
interior	ichki makon	
corridor	yo'lak	
retail	retail	
pitcher	krujka	
pitch	pitch	
weakness	weakness	
classical	klassik	
estimated	taxmin qilingan	
T-shirt	Futbolka	
online	onlayn	
unemployment	ishsizlik	
civilization	tsivilizatsiya	
fold	katlama	
pop	pop	
daily	daily	
reverse	teskari	
correlation	o'zaro bog'liqlik	
humanity	humanity	
flash	miltillovchi	
developer	ishlab chiquvchi	
reliable	ishonchli	
excitement	hayajon	
Islam	Islom	
Roman	Roman	
stretch	cho'zish	
architecture	architecture	
occasional	vaqti-vaqti bilan	
administrative	administrative	
elbow	elbow	
deadly	halokatli	
Muslim	Muslim	
Hispanic	Ispancha	
allegation	allegation	
confuse	aralashtirmoq	
airplane	airplane	
monthly	oylik	
dose	doza	
Korean	Koreys	
plead	yolvorish	
initiate	boshlash	
lecture	lecture	
van	furgon	
sixth	oltinchi	
bay	bay	
mainstream	asosiy oqim	
suburb	shahar atrofi	
unlike	unlike	
rumor	rumor	
implementation	amalga oshirish	
swallow	yutmoq	
motivate	motivate	
render	ko'rsatish	
longtime	uzoq vaqt	
restrict	cheklash	
cloth	cloth	
seemingly	seemingly	
legislative	qonun chiqaruvchi	
effectiveness	effectiveness	
enforce	majburlash	
lens	lens	
inspector	tekshiruvchi	
lend	qarz berish	
fraud	fraud	
companion	hamrohi	
contend	contend	
nail	mix	
array	qator	
strict	qattiq	
assemble	yig'moq	
burst	burst	
hallway	hallway	
cave	g'or	
inevitable	muqarrar	
southwest	southwest	
protest	norozilik	
unexpected	kutilmagan	
obstacle	obstacle	
facilitate	osonlashtirmoq	
encounter	duch kelish	
herb	o't	
overwhelming	juda katta	
integration	integratsiya	
crystal	kristall	
recession	recession	
motive	sabab	
label	yorliq	
flood	toshqin	
ownership	mulkchilik	
inspection	tekshirish	
supervisor	supervisor	
consult	maslahatlashing	
arena	maydon	
diagnosis	tashxis	
possession	egalik qilish	
